"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2023-24,22,ORL,NBA,SF,7,7,259,0.408,0.478,0.265,0.451,0.886,0.539,0.427,0.33,86,88,72,83,113,93,175,84,
2024-25,23,ORL,NBA,SF,5,5,195,0.443,0.564,0.189,0.474,0.769,0.51,0.226,0.322,95,103,53,87,99,89,93,76,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,12,12,454,0.427,0.524,0.225,0.463,0.843,0.525,0.321,0.326,91,96,62,85,108,91,132,80,
