"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dont̩ Greene,,1.5,0.7,0.5,-1.1
Lonny Baxter,45.2,1.5,0.9,0.7,-0.2
Calvin Garrett,44.2,1.4,0.6,0.6,0.0
Art Spector,43.6,1.4,1.0,0.6,-0.2
Harry Giles,41.3,1.6,1.0,0.5,0.1
Jordan Nwora,40.2,1.5,0.6,0.5,0.4
Billy Schaeffer,35.5,1.9,0.8,0.5,
John Fairchild,34.9,1.7,0.7,0.0,-0.6
Pat McFarland,34.2,1.3,0.7,0.4,
T.J. Leaf,34.0,1.6,0.8,0.3,0.0
Ron Riley,30.1,1.6,0.7,0.2,0.0
