"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Marcus Fizer,,1.4,1.1,0.5,0.4,0.0,-0.7
Hilton Armstrong,68.9,1.5,1.2,0.5,0.5,0.3,-0.1
Gary Gregor,68.7,1.4,1.1,0.8,0.5,0.5,-0.4
Steve Green,67.1,1.2,1.1,0.7,0.4,,
Chris Johnson,65.4,1.4,1.1,0.8,0.2,,
Anthony Gill,64.9,1.4,1.3,0.6,0.5,0.4,
Fred Saunders,63.0,1.3,1.2,0.5,0.1,,
Bruno Fernando,62.9,1.5,0.9,0.8,0.4,0.3,-0.1
Anthony Miller,62.8,1.2,1.2,0.8,0.6,0.0,-0.1
Jarell Martin,62.5,1.3,0.8,0.6,0.5,,
John Thomas,62.0,1.5,0.9,0.4,0.4,0.0,
