"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2000-01,22,CHH,NBA,C,10.0,0.0,110.0,0.571,0.571,,0.571,0.304,0.512,0.821,0.0,129.0,124.0,,121.0,41.0,99.0,266.0,0.0,
2001-02,23,CHH,NBA,C,8.0,0.0,168.0,0.55,0.55,,0.55,0.761,0.688,1.775,0.0,124.0,118.0,,115.0,101.0,132.0,606.0,0.0,
2002-03,24,NOH,NBA,C,6.0,6.0,188.0,0.449,0.449,,0.449,0.758,0.543,0.673,0.0,102.0,97.0,,95.0,100.0,105.0,223.0,0.0,
2003-04,25,NOH,NBA,C,7.0,7.0,239.0,0.418,0.424,0.0,0.418,0.75,0.485,0.418,0.015,95.0,92.0,0.0,89.0,100.0,94.0,138.0,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,27,MIL,NBA,C,5.0,5.0,135.0,0.474,0.474,,0.474,0.6,0.504,0.395,0.0,104.0,99.0,,97.0,81.0,94.0,119.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,30,MIA,NBA,C,6.0,0.0,47.0,0.333,0.333,,0.333,,0.333,0.0,0.0,73.0,69.0,,67.0,,61.0,0.0,0.0,
2009-10,31,MIA,NBA,C,1.0,0.0,5.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
2010-11,32,MIA,NBA,C,3.0,0.0,18.0,0.4,0.4,,0.4,,0.4,0.0,0.0,87.0,82.0,,80.0,,74.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,46.0,18.0,910.0,0.47,0.472,0.0,0.47,0.682,0.544,0.733,0.004,104.0,101.0,0.0,99.0,91.0,104.0,243.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,10.0,0.0,70.0,0.3,0.3,,0.3,,0.3,0.0,0.0,65.0,62.0,,60.0,,55.0,0.0,0.0,
CHH (2 Yrs),CHH (2 Yrs),CHH (2 Yrs),CHH (2 Yrs),,18.0,0.0,278.0,0.559,0.559,,0.559,0.649,0.626,1.382,0.0,126.0,121.0,,118.0,86.0,121.0,466.0,0.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,13.0,13.0,427.0,0.431,0.435,0.0,0.431,0.754,0.511,0.526,0.009,98.0,94.0,0.0,91.0,100.0,99.0,174.0,5.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,135.0,0.474,0.474,,0.474,0.6,0.504,0.395,0.0,104.0,99.0,,97.0,81.0,94.0,119.0,0.0,
