"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Corey Kispert,,3.8,2.3,2.1,1.1,,,,,
Aaron Nesmith,86.1,4.1,2.9,2.0,1.1,0.4,,,,
Eddie Robinson,85.8,4.0,3.0,2.2,0.8,0.2,,,,
Roger Phegley,85.7,3.7,2.6,1.6,0.8,0.0,-0.1,,,
Sonny Hertzberg,85.4,4.0,2.5,2.3,1.4,0.7,,,,
Matthew Dellavedova,84.5,3.8,2.1,1.9,1.2,0.5,0.5,0.2,0.1,0.0
Moses Moody,84.3,3.5,2.4,1.3,1.3,,,,,
Jerian Grant,83.7,3.3,2.5,1.7,0.8,0.0,,,,
Khalid Reeves,83.3,3.5,2.5,1.2,1.1,0.1,0.0,,,
Cole Anthony,80.5,3.7,3.6,2.0,1.6,0.0,,,,
Butch van Breda Kolff,80.2,4.4,2.5,2.3,0.2,,,,,
