"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Corey Kispert,,3.8,2.3,2.1,1.1
Eric Piatkowski,97.2,3.9,2.3,2.0,1.2
Matthew Dellavedova,94.5,3.8,2.1,1.9,1.2
Quintin Dailey,93.8,3.7,2.6,2.1,1.0
Spud Webb,93.5,3.5,2.3,2.2,1.2
Bill Hanzlik,93.0,4.1,2.4,1.9,1.0
Gerald Henderson,91.8,3.6,2.3,1.7,1.3
Gary Neal,90.3,3.5,2.5,1.9,1.0
Jim King,89.4,3.5,2.3,1.5,1.1
Eddie Jordan,89.3,4.1,2.4,1.9,0.6
Jason Williams,89.0,3.8,2.1,1.5,0.9
