"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Donatas MotiejÅ«nas,,4.7,1.4,0.7,0.3,0.2,-0.1
Andy Johnson,83.3,4.6,1.8,1.3,0.3,,
Tony Campbell,80.0,5.3,1.4,1.1,0.4,0.4,-0.3
Harthorne Wingo,78.8,3.9,1.4,0.9,0.0,,
Tommy Byrnes,78.3,4.0,1.7,0.9,0.3,-0.2,
Aaron Williams,77.5,4.8,1.7,1.1,1.1,-0.1,-0.1
Don MacLean,75.9,5.6,1.5,1.1,0.5,0.4,-0.2
Reggie Williams,73.1,3.7,1.7,0.3,0.3,0.2,0.0
Tony Jaros,73.0,4.4,2.2,1.3,0.6,,
Dick Mehen,72.6,5.6,1.9,0.6,,,
Carl Herrera,71.0,4.6,2.1,2.0,0.5,0.1,-0.2
