"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Bernard Robinson,,1.7,0.3,0.1,,,
Bobby Wilson,84.7,1.6,0.2,0.0,-0.1,,
Johnny Juzang,81.3,1.6,0.4,-0.2,,,
Ryan Rollins,79.2,1.7,0.3,-0.3,,,
Gary Phillips,78.0,1.7,0.3,0.2,0.2,-0.1,
Tracy Jackson,76.5,1.7,0.7,0.0,,,
Greg Grant,76.3,1.4,0.2,0.0,0.0,0.0,-0.1
Isaac Bonga,74.9,1.8,0.1,0.0,-0.1,,
Travis Mays,74.7,2.1,0.3,0.0,,,
John Kuester,74.6,1.9,0.1,0.0,,,
Davon Reed,73.3,1.6,0.1,0.1,-0.3,,
