"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')"
Dwight Howard,,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8.0,7.7,7.6,7.3,6.8,6.6,5.4,4.0,3.6,3.5,0.6,,,
Pau Gasol,94.1,14.7,13.9,12.0,11.0,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,6.4,6.0,3.7,3.0,1.1,,,
Patrick Ewing,85.4,13.5,13.1,13.0,10.9,10.6,10.0,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3.0,2.0,1.4,,,,
Bob Lanier,85.0,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,,,,,,,
Hakeem Olajuwon,84.2,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,5.0,4.5,2.1,1.6,,,
Walt Bellamy,84.0,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,,,,,,,
Dan Issel,83.9,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3,,,,,,
Robert Parish,82.9,10.9,10.8,10.5,10.5,10.0,10.0,9.2,9.2,9.0,7.8,7.4,7.1,6.8,6.4,4.8,4.6,4.0,4.0,1.7,1.4,0.9
Moses Malone,82.1,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,7.8,7.7,6.1,5.6,1.9,1.0,0.3,0.1
Dikembe Mutombo,81.3,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2,,,
Jack Sikma,80.4,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8.0,7.8,7.4,5.4,5.0,3.5,,,,,,,
