0
2008-09 Defensive Player of the Year (Hakeem Olajuwon Trophy)
2009-10 Defensive Player of the Year (Hakeem Olajuwon Trophy)
2010-11 Defensive Player of the Year (Hakeem Olajuwon Trophy)
