"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Trevor Booker,,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3
Ollie Johnson,94.0,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0
Cliff Robinson,91.4,5.6,4.4,3.6,3.5,3.1,2.9,2.5,2.1
Jason Thompson,90.8,4.0,3.9,3.6,2.9,2.7,2.7,2.4,1.6
Dwight Jones,88.8,3.9,3.8,3.1,2.9,2.9,2.7,2.6,1.3
Tim Thomas,87.9,5.5,4.1,3.8,3.4,2.9,2.2,2.2,2.2
John Tresvant,87.4,4.1,3.8,3.5,3.3,2.8,2.7,2.6,0.1
Sam Mitchell,86.1,5.1,5.1,4.3,3.7,3.3,2.8,2.3,2.2
Nate Williams,85.9,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4
Ron Anderson,84.8,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Allan Bristow,84.6,4.4,4.3,3.5,2.8,2.7,1.9,1.9,0.5
