"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Trevor Booker,,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3,,,,
John Tresvant,91.5,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,,,
Jason Thompson,90.8,4.0,3.9,3.6,2.9,2.7,2.7,2.4,1.6,,,,
Ollie Johnson,90.2,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,,
Dwight Jones,89.6,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,,
Allan Bristow,89.4,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,,
Cliff Robinson,86.1,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,
Nate Williams,85.9,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,
Derrick Jones Jr.,85.3,4.7,4.4,3.1,2.9,2.4,2.4,2.2,1.1,0.4,,,
Jonas Jerebko,84.8,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4,,,
Wilson Chandler,84.6,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,1.5,0.7,0.5,-0.1
