"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '3P')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 23_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2025-26,24,CHO,NBA,C,19,19,487,0.811,2.2,0.989,0.822,0.167,0.0,0.0,0.011,0.82,0.865,0.6,0.0,0.685,0.433,37,0.0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,19,19,487,0.811,2.2,0.989,0.822,0.167,0.0,0.0,0.011,0.82,0.865,0.6,0.0,0.685,0.433,37,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,82,2102,0.811,2.2,0.989,0.822,0.167,0.0,0.0,0.011,0.82,0.865,0.6,0.0,0.685,0.433,160,0.0,0,0,
