"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Tyrese Maxey,,8.1,7.3,5.4,3.8,1.9
Richie Guerin,96.2,8.4,7.4,5.4,3.5,1.7
Latrell Sprewell,96.2,8.1,8.0,5.5,4.0,2.0
Ronnie Brewer,95.7,7.8,6.8,5.4,3.7,1.7
Dick Barnett,92.6,8.0,6.5,5.8,3.4,2.2
John Wall,92.4,7.9,7.8,4.5,3.5,2.2
B.J. Armstrong,92.2,7.5,7.5,4.6,4.1,1.7
Cuttino Mobley,91.5,8.2,6.9,5.7,5.2,2.3
Devin Harris,91.1,7.5,6.5,5.6,3.7,2.7
Andrew Toney,91.1,7.3,6.4,5.5,4.0,2.2
Jalen Brunson,90.5,8.7,7.5,5.1,2.6,2.1
