"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Tyrese Maxey,,8.1,7.3,5.4,3.8,1.9,,,,,
Anthony Edwards,90.1,8.4,7.5,4.3,3.8,0.8,,,,,
John Logan,86.6,9.2,8.3,5.2,4.3,1.0,,,,,
Desmond Bane,85.8,7.2,6.5,5.8,3.1,2.9,,,,,
Andrew Toney,85.5,7.3,6.4,5.5,4.0,2.2,1.2,0.5,-0.2,,
Darius Garland,84.5,8.1,7.6,6.3,2.7,1.2,-1.3,,,,
Josh Childress,83.5,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,
Ronnie Brewer,83.3,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,
Ralph Simpson,82.7,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
Micheal Williams,82.4,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
Austin Reaves,81.6,7.6,5.9,5.4,2.9,,,,,,
