"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Andre Drummond,,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2
Brad Miller,91.3,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1
Tyson Chandler,90.6,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.4,2.9,1.9,1.8
Bill Cartwright,89.6,10.1,10.0,9.8,9.7,6.4,5.8,5.0,4.5,4.2,2.5,2.1,1.2,0.0
Clint Capela,88.1,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0,,
Larry Foust,87.7,13.3,11.1,10.4,7.1,6.4,6.3,4.9,4.7,4.5,4.2,3.1,3.1,
Billy Paultz,87.5,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.1
Marc Gasol,87.0,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8
Nate Thurmond,86.8,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4
Marcus Camby,86.2,10.3,8.5,7.6,6.9,5.9,5.8,5.5,5.2,3.7,3.5,2.1,1.5,0.9
Zydrunas Ilgauskas,85.4,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5
