"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Dyson Daniels,,5.0,2.9,1.3,,
Jalen Green,85.9,5.1,3.1,1.8,0.7,
Earl Tatum,83.4,4.4,2.6,0.7,0.0,
Keith Jennings,82.1,4.2,2.9,0.6,,
Walt Kirk,82.1,5.0,2.3,0.4,,
Keon Ellis,81.1,5.0,2.3,0.2,,
Quentin Grimes,80.8,4.8,3.4,1.4,1.3,
Michael Dickerson,79.8,5.5,2.2,1.8,0.1,-0.1
Mike Barrett,79.7,4.9,2.7,-0.1,,
Don Carlson,77.7,5.8,2.8,2.6,0.2,
Butch van Breda Kolff,77.7,4.4,2.5,2.3,0.2,
