"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Joakim Noah,,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,0.1
Tom Owens,91.1,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,
Steven Adams,89.7,9.7,9.1,6.8,6.5,6.5,6.5,4.1,4.0,3.4,2.9,2.3,,
Swen Nater,88.0,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Arnie Risen,87.9,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,
Zydrunas Ilgauskas,87.8,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5
Mehmet Okur,87.8,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,,
Dave Robisch,87.6,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Marcus Camby,87.3,10.3,8.5,7.6,6.9,5.9,5.8,5.5,5.2,3.7,3.5,2.1,1.5,0.9
Marcin Gortat,86.2,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,
Clint Capela,85.6,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0,,
