"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2005-06,21,MIL,NBA,PF,5.0,5.0,172.0,0.435,6.3,1.0,0.522,0.13,0.152,0.196,0.0,0.435,0.583,0.667,0.143,0.111,,0.75,0.152,6.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,28,GSW,NBA,C,12.0,12.0,327.0,0.582,3.4,1.0,0.612,0.358,0.015,0.015,0.0,0.582,0.732,0.375,0.0,0.0,,0.769,0.239,15.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,30,GSW,NBA,C,19.0,18.0,440.0,0.56,3.4,0.987,0.667,0.267,0.027,0.027,0.013,0.568,0.72,0.25,0.5,0.0,0.0,0.738,0.267,18.0,0.0,0.0,0.0,
2015-16,31,GSW,NBA,C,22.0,22.0,365.0,0.623,3.5,0.974,0.675,0.234,0.065,0.0,0.026,0.64,0.731,0.389,0.6,,0.0,0.688,0.234,16.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,34,GSW,NBA,C,19.0,6.0,179.0,0.649,3.2,1.0,0.73,0.216,0.054,0.0,0.0,0.649,0.778,0.375,0.0,,,0.667,0.189,7.0,,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,77.0,63.0,1483.0,0.573,4.0,0.99,0.642,0.252,0.056,0.04,0.01,0.579,0.716,0.368,0.294,0.083,0.0,0.723,0.225,62.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,67.0,1579.0,0.573,4.0,0.99,0.642,0.252,0.056,0.04,0.01,0.579,0.716,0.368,0.294,0.083,0.0,0.723,0.225,66.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (4 Yrs),GSW (4 Yrs),GSW (4 Yrs),GSW (4 Yrs),,72.0,58.0,1311.0,0.598,3.4,0.988,0.664,0.273,0.039,0.012,0.012,0.605,0.735,0.343,0.4,0.0,0.0,0.719,0.238,56.0,0.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,172.0,0.435,6.3,1.0,0.522,0.13,0.152,0.196,0.0,0.435,0.583,0.667,0.143,0.111,,0.75,0.152,6.0,,0.0,0.0,
