"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2005-06,21,MIL,NBA,PF,82.0,77.0,2348.0,0.533,3.4,0.995,0.67,0.196,0.069,0.059,0.005,0.536,0.616,0.387,0.405,0.278,0.0,0.598,,0.109,61.0,0.0,0.0,0.0,ROY-3
2006-07,22,MIL,NBA,C,66.0,66.0,2258.0,0.553,4.4,0.992,0.599,0.223,0.1,0.07,0.008,0.556,0.658,0.479,0.333,0.25,0.2,0.545,1.0,0.103,62.0,0.0,1.0,0.0,
2007-08,23,MIL,NBA,C,78.0,78.0,2720.0,0.511,3.9,0.992,0.557,0.336,0.054,0.045,0.008,0.515,0.598,0.448,0.224,0.341,0.0,0.602,,0.116,102.0,0.0,0.0,0.0,
2008-09,24,MIL,NBA,C,36.0,33.0,1124.0,0.577,3.5,1.0,0.599,0.309,0.066,0.025,0.0,0.577,0.658,0.49,0.429,0.125,,0.574,,0.132,38.0,,0.0,0.0,
2009-10,25,MIL,NBA,C,69.0,69.0,2229.0,0.52,4.3,0.998,0.447,0.468,0.069,0.013,0.002,0.521,0.634,0.437,0.333,0.667,0.0,0.524,,0.076,61.0,0.0,1.0,0.0,"DPOY-7,NBA3"
2010-11,26,MIL,NBA,C,65.0,65.0,2297.0,0.495,4.8,0.995,0.411,0.512,0.063,0.008,0.005,0.497,0.656,0.403,0.298,0.0,0.0,0.482,,0.089,63.0,0.0,1.0,0.0,DPOY-6
2011-12,27,MIL,NBA,C,12.0,12.0,364.0,0.449,6.0,0.993,0.324,0.522,0.096,0.051,0.007,0.452,0.75,0.282,0.462,0.286,0.0,0.59,,0.074,10.0,0.0,0.0,0.0,
2012-13,28,GSW,NBA,C,32.0,32.0,786.0,0.451,4.7,0.995,0.495,0.435,0.043,0.022,0.005,0.448,0.582,0.313,0.25,0.5,1.0,0.61,1.0,0.114,17.0,0.0,0.0,0.0,
2013-14,29,GSW,NBA,C,67.0,67.0,1769.0,0.627,3.1,1.0,0.696,0.253,0.032,0.019,0.0,0.627,0.697,0.442,0.583,0.571,,0.715,,0.259,91.0,,0.0,0.0,DPOY-10
2014-15,30,GSW,NBA,C,67.0,65.0,1583.0,0.563,3.2,1.0,0.592,0.346,0.056,0.006,0.0,0.563,0.643,0.488,0.25,0.0,,0.66,,0.186,56.0,,0.0,0.0,"DPOY-6,DEF2"
2015-16,31,GSW,NBA,C,70.0,66.0,1451.0,0.627,2.7,0.996,0.677,0.258,0.047,0.014,0.004,0.626,0.757,0.375,0.231,0.25,1.0,0.764,0.0,0.297,78.0,0.0,0.0,0.0,
2016-17,32,2TM,NBA,C,27.0,21.0,583.0,0.469,4.3,0.988,0.457,0.469,0.062,0.0,0.012,0.475,0.568,0.421,0.2,,0.0,0.526,,0.099,7.0,0.0,0.0,0.0,
2016-17,32,DAL,NBA,C,26.0,21.0,582.0,0.469,4.3,0.988,0.457,0.469,0.062,0.0,0.012,0.475,0.568,0.421,0.2,,0.0,0.526,,0.099,7.0,0.0,0.0,0.0,
2016-17,32,CLE,NBA,C,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
2017-18,33,LAL,NBA,C,24.0,5.0,216.0,0.68,2.8,1.0,0.72,0.16,0.08,0.04,0.0,0.68,0.778,0.5,0.0,1.0,,0.353,,0.2,4.0,,0.0,0.0,
2018-19,34,GSW,NBA,C,11.0,5.0,134.0,0.5,4.2,1.0,0.611,0.25,0.111,0.028,0.0,0.5,0.591,0.333,0.5,0.0,,0.611,,0.167,5.0,,0.0,0.0,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,706.0,661.0,19862.0,0.535,4.0,0.996,0.549,0.351,0.065,0.031,0.004,0.537,0.646,0.424,0.329,0.312,0.12,0.586,0.667,0.127,655.0,0.0,3.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,77.0,2307.0,0.535,,0.996,0.549,0.351,0.065,0.031,0.004,0.537,0.646,0.424,0.329,0.312,0.12,0.586,0.667,0.127,76.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (7 Yrs),MIL (7 Yrs),MIL (7 Yrs),MIL (7 Yrs),,408.0,400.0,13340.0,0.522,4.3,0.995,0.526,0.362,0.07,0.036,0.005,0.525,0.634,0.427,0.332,0.299,0.045,0.553,1.0,0.1,397.0,0.0,3.0,0.0,
GSW (5 Yrs),GSW (5 Yrs),GSW (5 Yrs),GSW (5 Yrs),,247.0,235.0,5723.0,0.579,3.6,0.998,0.629,0.308,0.046,0.015,0.002,0.578,0.68,0.414,0.333,0.389,1.0,0.697,0.5,0.222,247.0,0.0,0.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,26.0,21.0,582.0,0.469,4.3,0.988,0.457,0.469,0.062,0.0,0.012,0.475,0.568,0.421,0.2,,0.0,0.526,,0.099,7.0,0.0,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,24.0,5.0,216.0,0.68,2.8,1.0,0.72,0.16,0.08,0.04,0.0,0.68,0.778,0.5,0.0,1.0,,0.353,,0.2,4.0,,0.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
