"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Josh Richardson,,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8,-0.1,,,,
Jeremy Lamb,89.0,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,,,,
Blue Edwards,87.2,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,,,,
Buddy Hield,87.1,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Gary Harris,86.8,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,1.0,0.7,-0.7,,,
Nate Robinson,86.8,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0.0,,,
Hubert Davis,85.7,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,,
Ernie Grunfeld,85.3,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,,
Bobby Jackson,84.7,5.5,5.4,3.5,3.1,3.1,3.0,2.5,2.2,1.4,1.2,1.2,-0.6,,
Rodney Stuckey,84.7,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,-0.1,,,,
Bimbo Coles,84.4,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0.0,0.0,-0.1
