"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Josh Richardson,,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8,-0.1
Bobby Jackson,89.5,5.5,5.4,3.5,3.1,3.1,2.5,2.2,1.4,1.2,-0.6
Jeremy Lamb,89.0,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2
Gary Harris,87.9,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,0.7,-0.7
Blue Edwards,87.2,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1
Buddy Hield,87.1,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,
Hubert Davis,86.9,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
Nate Robinson,86.8,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3
Gerald Henderson,85.7,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.1
Eric Piatkowski,85.5,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.0,1.2,0.9
Bimbo Coles,85.3,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5
