"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2011-12,24,LAL,NBA,WC1,DEN,W (4-3),7.0,20.1,5.4,7.3,0.1,0.1,0.6,15.0,38.0,0.395,0.0,0.0,15.0,38.0,0.395,0.395,8.0,12.0,0.667,26.0,25.0,51.0,1.0,1.0,4.0,6.0,18.0,38.0,
2011-12,24,LAL,NBA,WCS,OKC,L (1-4),5.0,15.2,3.8,5.0,0.0,0.4,0.8,8.0,15.0,0.533,0.0,0.0,8.0,15.0,0.533,0.533,3.0,4.0,0.75,13.0,12.0,25.0,0.0,2.0,4.0,1.0,14.0,19.0,
2012-13,25,LAL,NBA,WC1,SAS,L (0-4),3.0,10.3,3.3,3.7,0.3,0.0,0.7,5.0,10.0,0.5,0.0,0.0,5.0,10.0,0.5,0.5,0.0,0.0,,2.0,9.0,11.0,1.0,0.0,2.0,0.0,2.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,28,IND,NBA,EC1,TOR,L (3-4),5.0,3.0,0.0,1.2,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,
3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),1-3,20.0,13.2,3.4,4.7,0.2,0.2,0.5,28.0,66.0,0.424,0.0,0.0,28.0,66.0,0.424,0.424,11.0,16.0,0.688,43.0,50.0,93.0,4.0,3.0,10.0,7.0,35.0,67.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),1-1,10.0,17.2,4.8,6.2,0.2,0.1,0.6,20.0,48.0,0.417,0.0,0.0,20.0,48.0,0.417,0.417,8.0,12.0,0.667,28.0,34.0,62.0,2.0,1.0,6.0,6.0,20.0,48.0,
EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),0-1,5.0,3.0,0.0,1.2,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),0-1,5.0,15.2,3.8,5.0,0.0,0.4,0.8,8.0,15.0,0.533,0.0,0.0,8.0,15.0,0.533,0.533,3.0,4.0,0.75,13.0,12.0,25.0,0.0,2.0,4.0,1.0,14.0,19.0,
