"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Eddie Griffin,,3.9,3.2,2.4,1.5,-0.2,
Reggie Johnson,96.4,3.9,3.0,2.4,1.6,,
Derrek Dickey,91.5,3.8,3.1,2.3,1.7,0.3,
Bill Garnett,91.1,3.9,3.5,2.0,1.5,,
Dwight Davis,89.6,3.7,3.3,2.3,1.5,0.6,
Collis Jones,89.3,4.2,3.2,2.1,1.2,,
Bob Doll,88.5,4.0,2.8,1.8,1.6,,
Richard Washington,88.4,3.9,3.2,2.1,2.0,0.0,-0.5
Jonathan Kuminga,88.1,4.6,3.0,2.4,1.9,,
Frank Card,87.3,4.2,2.6,2.4,1.9,0.1,
Dave Budd,87.1,4.1,3.2,2.3,1.2,0.9,
