"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Keyon Dooling,,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0.0
Jim King,88.8,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,,,
Tyronn Lue,88.6,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,
MickaÃ«l PiÃ©trus,86.4,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,,,
John Battle,85.1,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,
Sasha VujaÄiÄ,84.8,3.7,3.6,2.1,2.0,1.8,1.4,1.1,0.2,0.1,-0.1,,,
Marquis Daniels,84.5,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1,,,
Rod Thorn,84.3,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,,,
Gerald Henderson,84.0,3.6,3.6,3.3,2.4,2.0,2.0,1.0,0.4,,,,,
Dudley Bradley,83.2,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,,
Mike Dunleavy,82.9,3.4,3.1,3.0,2.6,1.4,1.4,1.0,0.2,0.1,0.0,-0.1,,
