Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2022-23,25,PHI,NBA,SF,8,0,102,4.1,10.3,0.4,1.5,4.6,0.333,2.6,5.7,0.455,0.475,0.0,0.0,1.5,6.7,8.2,2.6,0.5,0.0,1.5,4.1,9.8,99,118,
1 Yr,1 Yr,1 Yr,1 Yr,,8,0,102,4.1,10.3,0.4,1.5,4.6,0.333,2.6,5.7,0.455,0.475,0.0,0.0,1.5,6.7,8.2,2.6,0.5,0.0,1.5,4.1,9.8,99,118,
