"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
D'Angelo Russell,,5.1,5.1,5.0,4.4,1.9,1.8,1.6,1.3,0.4,0.0,,
Chris Duhon,90.1,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,,,
Matt Guokas,89.5,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,
Bob Sura,88.0,5.2,4.9,4.8,4.6,4.1,1.8,1.6,0.7,0.4,0.1,,
Quinn Buckner,87.9,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5,0.2,,
Larry Steele,87.3,5.7,5.2,4.8,3.6,3.0,2.0,1.9,1.6,0.5,,,
Walt Hazzard,87.2,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,
Seth Curry,86.8,4.6,4.3,4.2,4.0,2.4,1.8,1.8,1.4,0.5,0.0,0.0,
Tyreke Evans,85.6,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,,
Ricky Davis,84.4,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Martell Webster,84.4,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0,,
