"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2009-10,22,MEM,NBA,C,68.0,13.0,883.0,0.588,0.588,0.588,0.581,0.605,0.71,0.0,127.0,120.0,117.0,77.0,111.0,236.0,0.0,22.8,21.3,
2010-11,23,2TM,NBA,C,47.0,0.0,373.0,0.425,0.425,0.425,0.543,0.478,0.875,0.0,93.0,87.0,85.0,71.0,88.0,292.0,0.0,-5.9,-7.0,
2010-11,23,MEM,NBA,C,45.0,0.0,369.0,0.436,0.436,0.436,0.543,0.487,0.897,0.0,95.0,89.0,87.0,71.0,90.0,299.0,0.0,-4.9,-5.9,
2010-11,23,HOU,NBA,C,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-1.0,-1.1,
2011-12,24,2TM,NBA,C,20.0,3.0,139.0,0.524,0.524,0.524,0.65,0.587,0.952,0.0,117.0,110.0,107.0,86.0,111.0,345.0,0.0,1.6,3.5,
2011-12,24,HOU,NBA,C,5.0,0.0,23.0,1.0,1.0,1.0,,1.0,0.0,0.0,223.0,210.0,205.0,,190.0,0.0,0.0,3.1,2.8,
2011-12,24,POR,NBA,C,15.0,3.0,116.0,0.444,0.444,0.444,0.65,0.541,1.111,0.0,99.0,93.0,91.0,86.0,103.0,403.0,0.0,-1.5,0.7,
2012-13,25,OKC,NBA,C,66.0,4.0,770.0,0.604,0.604,0.604,0.604,0.619,0.5,0.0,133.0,125.0,122.0,80.0,116.0,185.0,0.0,22.8,21.7,
2013-14,26,OKC,NBA,C,23.0,0.0,192.0,0.565,0.565,0.565,0.2,0.536,0.217,0.0,124.0,116.0,113.0,26.0,99.0,76.0,0.0,3.0,-0.3,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,224.0,20.0,2357.0,0.567,0.567,0.567,0.578,0.587,0.642,0.0,125.0,116.0,114.0,76.0,109.0,222.0,0.0,44.3,39.2,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,113.0,13.0,1252.0,0.553,0.553,0.553,0.57,0.577,0.753,0.0,120.0,113.0,111.0,75.0,106.0,251.0,0.0,17.9,15.4,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,89.0,4.0,962.0,0.597,0.597,0.597,0.569,0.605,0.45,0.0,132.0,123.0,120.0,76.0,113.0,166.0,0.0,25.8,21.4,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,7.0,0.0,27.0,0.75,0.75,0.75,,0.75,0.0,0.0,165.0,157.0,154.0,,142.0,0.0,0.0,2.1,1.7,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,15.0,3.0,116.0,0.444,0.444,0.444,0.65,0.541,1.111,0.0,99.0,93.0,91.0,86.0,103.0,403.0,0.0,-1.5,0.7,
