Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,22,MEM,NBA,C,68.0,13.0,883.0,3.1,5.3,0.588,0.0,0.0,3.1,5.3,0.588,0.588,2.2,3.8,0.581,3.5,6.4,9.9,0.4,0.6,3.6,1.8,6.6,8.5,
2010-11,23,2TM,NBA,C,47.0,0.0,373.0,1.6,3.9,0.425,0.0,0.0,1.6,3.9,0.425,0.425,1.8,3.4,0.543,2.3,4.9,7.2,0.4,0.9,1.5,1.6,7.3,5.1,
2010-11,23,MEM,NBA,C,45.0,0.0,369.0,1.7,3.8,0.436,0.0,0.0,1.7,3.8,0.436,0.436,1.9,3.4,0.543,2.3,5.0,7.3,0.4,0.9,1.5,1.7,7.1,5.2,
2010-11,23,HOU,NBA,C,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,0.0,
2011-12,24,2TM,NBA,C,20.0,3.0,139.0,2.8,5.4,0.524,0.0,0.0,2.8,5.4,0.524,0.524,3.4,5.2,0.65,4.1,6.7,10.9,0.0,0.3,2.6,2.1,5.2,9.1,
2011-12,24,HOU,NBA,C,5.0,0.0,23.0,4.7,4.7,1.0,0.0,0.0,4.7,4.7,1.0,1.0,0.0,0.0,,1.6,9.4,11.0,0.0,0.0,3.1,0.0,7.8,9.4,
2011-12,24,POR,NBA,C,15.0,3.0,116.0,2.5,5.6,0.444,0.0,0.0,2.5,5.6,0.444,0.444,4.0,6.2,0.65,4.7,6.2,10.9,0.0,0.3,2.5,2.5,4.7,9.0,
2012-13,25,OKC,NBA,C,66.0,4.0,770.0,3.0,5.0,0.604,0.0,0.0,3.0,5.0,0.604,0.604,1.5,2.5,0.604,3.2,5.9,9.1,0.5,1.4,2.8,1.9,6.9,7.5,
2013-14,26,OKC,NBA,C,23.0,0.0,192.0,2.4,4.3,0.565,0.0,0.0,2.4,4.3,0.565,0.565,0.2,0.9,0.2,1.7,5.8,7.5,0.2,0.7,1.7,2.6,8.8,5.1,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,224.0,20.0,2357.0,2.8,4.9,0.567,0.0,0.0,2.8,4.9,0.567,0.567,1.8,3.1,0.578,3.1,6.0,9.1,0.4,0.9,2.8,1.9,6.9,7.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,113.0,13.0,1252.0,2.7,4.9,0.553,0.0,0.0,2.7,4.9,0.553,0.553,2.1,3.7,0.57,3.1,6.0,9.1,0.4,0.7,3.0,1.7,6.8,7.5,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,89.0,4.0,962.0,2.9,4.8,0.597,0.0,0.0,2.9,4.8,0.597,0.597,1.2,2.2,0.569,2.9,5.9,8.8,0.4,1.3,2.6,2.1,7.3,7.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,7.0,0.0,27.0,4.0,5.3,0.75,0.0,0.0,4.0,5.3,0.75,0.75,0.0,0.0,,1.3,8.0,9.3,0.0,0.0,4.0,0.0,10.7,8.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,15.0,3.0,116.0,2.5,5.6,0.444,0.0,0.0,2.5,5.6,0.444,0.444,4.0,6.2,0.65,4.7,6.2,10.9,0.0,0.3,2.5,2.5,4.7,9.0,
