Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,22,MEM,NBA,C,68.0,13.0,13.0,1.1,1.9,0.588,0.0,0.0,1.1,1.9,0.588,0.588,0.8,1.4,0.581,1.3,2.3,3.6,0.2,0.2,1.3,0.6,2.4,3.1,
2010-11,23,2TM,NBA,C,47.0,0.0,7.9,0.4,0.9,0.425,0.0,0.0,0.4,0.9,0.425,0.425,0.4,0.7,0.543,0.5,1.1,1.6,0.1,0.2,0.3,0.4,1.6,1.1,
2010-11,23,MEM,NBA,C,45.0,0.0,8.2,0.4,0.9,0.436,0.0,0.0,0.4,0.9,0.436,0.436,0.4,0.8,0.543,0.5,1.1,1.7,0.1,0.2,0.3,0.4,1.6,1.2,
2010-11,23,HOU,NBA,C,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,
2011-12,24,2TM,NBA,C,20.0,3.0,7.0,0.6,1.1,0.524,0.0,0.0,0.6,1.1,0.524,0.524,0.7,1.0,0.65,0.8,1.3,2.1,0.0,0.1,0.5,0.4,1.0,1.8,
2011-12,24,HOU,NBA,C,5.0,0.0,4.6,0.6,0.6,1.0,0.0,0.0,0.6,0.6,1.0,1.0,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.4,0.0,1.0,1.2,
2011-12,24,POR,NBA,C,15.0,3.0,7.7,0.5,1.2,0.444,0.0,0.0,0.5,1.2,0.444,0.444,0.9,1.3,0.65,1.0,1.3,2.3,0.0,0.1,0.5,0.5,1.0,1.9,
2012-13,25,OKC,NBA,C,66.0,4.0,11.7,1.0,1.6,0.604,0.0,0.0,1.0,1.6,0.604,0.604,0.5,0.8,0.604,1.0,1.9,3.0,0.2,0.5,0.9,0.6,2.2,2.4,
2013-14,26,OKC,NBA,C,23.0,0.0,8.3,0.6,1.0,0.565,0.0,0.0,0.6,1.0,0.565,0.565,0.0,0.2,0.2,0.4,1.3,1.7,0.0,0.2,0.4,0.6,2.0,1.2,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,224.0,20.0,10.5,0.8,1.4,0.567,0.0,0.0,0.8,1.4,0.567,0.567,0.5,0.9,0.578,0.9,1.8,2.7,0.1,0.3,0.8,0.5,2.0,2.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,113.0,13.0,11.1,0.8,1.5,0.553,0.0,0.0,0.8,1.5,0.553,0.553,0.6,1.1,0.57,1.0,1.8,2.8,0.1,0.2,0.9,0.5,2.1,2.3,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,89.0,4.0,10.8,0.9,1.4,0.597,0.0,0.0,0.9,1.4,0.597,0.597,0.4,0.7,0.569,0.9,1.8,2.6,0.1,0.4,0.8,0.6,2.2,2.1,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,7.0,0.0,3.9,0.4,0.6,0.75,0.0,0.0,0.4,0.6,0.75,0.75,0.0,0.0,,0.1,0.9,1.0,0.0,0.0,0.4,0.0,1.1,0.9,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,15.0,3.0,7.7,0.5,1.2,0.444,0.0,0.0,0.5,1.2,0.444,0.444,0.9,1.3,0.65,1.0,1.3,2.3,0.0,0.1,0.5,0.5,1.0,1.9,
