Season,Team,Lg,Salary
2015-16,Golden State Warriors,NBA,"$1,131,960"
2016-17,Golden State Warriors,NBA,"$1,182,840"
2017-18,Golden State Warriors,NBA,"$1,471,382"
2018-19,Golden State Warriors,NBA,"$1,567,007"
2019-20,Golden State Warriors,NBA,"$4,464,286"
2020-21,Golden State Warriors,NBA,"$4,821,429"
2021-22,Golden State Warriors,NBA,"$5,178,572"
2022-23,Golden State Warriors,NBA,"$8,000,000"
2023-24,Golden State Warriors,NBA,"$7,500,000"
2024-25,Golden State Warriors,NBA,"$8,000,000"
Career,(may be incomplete),,"$43,317,476"
