"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Shelden Williams,,2.2,2.1,2.0,1.9,1.2,0.5,,,
Mark Acres,87.5,2.5,2.2,1.9,1.6,0.9,0.3,,,
Willie Burton,82.0,2.6,2.1,2.0,1.6,0.5,0.2,0.1,-0.1,
David Wood,81.2,2.8,2.3,2.2,1.3,1.0,0.5,0.0,,
Wesley Johnson,80.3,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0.0,0.0
Steve Kuberski,78.8,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0
McCoy McLemore,78.4,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,
Mark Landsberger,78.0,3.4,2.2,2.2,1.9,1.7,0.4,0.3,,
Dean Wade,77.1,3.0,2.5,2.3,2.0,1.8,0.2,,,
Al Tucker,76.9,3.5,2.3,2.3,2.1,1.1,,,,
Jarvis Hayes,76.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,
