"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Vit Krejci,,2.6,0.6,0.6,0.1,,,
Max Christie,94.5,2.7,0.7,0.6,,,,
Denzel Valentine,82.9,2.5,0.7,0.6,0.5,0.2,,
Harold Ellis,81.4,2.8,0.9,0.9,,,,
Franklin Edwards,78.5,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
A.J. Green,78.0,2.8,1.1,0.8,,,,
Negele Knight,76.8,3.2,0.6,0.5,0.1,-0.1,-0.2,
Jaylen Nowell,75.7,2.8,1.2,0.7,0.2,0.1,-0.2,
Terrance Ferguson,74.8,2.8,1.2,0.6,-0.2,,,
Shaedon Sharpe,73.5,3.0,1.2,0.5,,,,
Justin Jackson,72.8,2.9,1.2,1.0,0.2,0.1,0.0,0.0
