"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Rodney Stuckey,,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,-0.1,,,,
Ricky Sobers,90.4,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,
Eric Piatkowski,89.4,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
John Long,88.5,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.5,0.2,0.2,0.2,0.1
Lucious Harris,87.3,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,,
Chucky Atkins,86.9,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,,,
Allen Leavell,86.7,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,,,
Norman Powell,86.6,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,,,
Buddy Hield,86.5,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Matt Guokas,86.4,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,,,
Gary Harris,86.3,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,1.0,0.7,-0.7,,,
