Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2002-03,23,ORL,NBA,SG,6,0,25,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,1,4,5,1,1,1,1,1,5,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,25,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,1,4,5,1,1,1,1,1,5,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,342,27,96,0.286,14,55,0.25,14,41,0.333,0.357,0,0,14,55,68,14,14,14,14,14,68,0,
