"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Matt Bonner,,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.1,2.0,1.8,0.8
Johnny Newman,91.6,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,0.3
Kurt Rambis,90.5,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.5,0.6
Harvey Grant,89.8,6.7,5.0,4.3,4.0,4.0,3.9,2.7,2.6,1.7,0.8,0.7,
John Johnson,89.4,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2
Chris Morris,88.0,7.2,4.7,4.5,4.0,3.8,3.3,3.2,2.8,1.6,1.2,1.0,
Antoine Carr,87.9,5.5,5.4,4.3,4.0,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
Tim Thomas,87.7,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9
Bingo Smith,87.6,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,
Marcus Morris,87.5,5.4,4.5,4.2,4.0,3.9,3.6,3.6,3.2,2.4,2.0,1.8,-0.2
Sam Mitchell,87.1,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.6
