"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jeff Withey,,2.3,1.8,1.8,0.8,0.0
Zaid Abdul-Aziz,86.7,2.0,1.9,1.8,1.0,-0.3
Jim McIlvaine,85.0,3.0,1.9,1.8,0.8,0.3
Luther Rackley,81.4,1.9,1.8,1.3,0.8,0.1
Predrag Drobnjak,79.7,2.4,1.6,1.0,0.7,
Bob Christian,79.3,2.4,1.9,0.9,0.5,0.0
Gene Wiley,78.8,2.8,2.4,1.8,1.3,-0.1
Jeff Wilkins,78.3,2.4,2.3,2.3,1.0,0.5
Jock Landale,77.6,2.7,2.3,1.7,1.5,
Will Perdue,77.4,2.5,2.5,2.3,0.5,-0.1
Paul Mokeski,77.0,1.7,1.6,1.4,0.8,-0.1
