"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Å½arko Äabarkapa,,1.3,0.3,-0.4,
Jeff Taylor,81.9,1.2,0.3,-0.2,
Roy Rogers,65.6,1.4,0.4,-0.1,
C.J. Kupec,60.1,1.5,0.5,-0.2,
Glenn McDonald,60.0,1.1,0.2,-0.2,
Chris Silva,52.6,1.3,0.3,0.2,0.0
Stephen Howard,51.6,1.3,0.2,0.1,0.0
Winston Bennett,50.8,1.1,0.3,0.2,
Walt Piatkowski,50.4,1.2,0.8,-0.2,
Viktor Khryapa,49.6,1.3,0.4,0.3,0.0
Kenny Dennard,49.2,1.1,0.3,0.1,
