"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Festus Ezeli,,2.7,1.7,1.5
Greg Stiemsma,98.0,2.7,1.7,1.5
Francisco Elson,95.5,2.9,1.8,1.6
Olden Polynice,93.2,2.5,1.6,1.5
Danny Schayes,91.7,2.8,2.0,1.7
Wayne Cooper,91.5,2.8,1.5,1.2
Mo Bamba,91.2,2.5,1.8,1.7
Day'Ron Sharpe,90.9,2.9,1.6,1.2
Jock Landale,88.3,2.7,2.3,1.5
Hub Reed,88.0,2.8,1.7,1.0
Boban MarjanoviÄ,87.3,3.4,1.7,1.5
