"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
John Jenkins,,1.7,0.9,0.2,0.2,0.0,-0.1
Mike Flynn,84.1,1.7,0.8,0.3,,,
Jordan Hamilton,82.0,1.6,0.8,0.3,0.2,0.1,
Lloyd Daniels,80.0,1.8,1.1,0.2,0.1,0.0,
Jannero Pargo,78.7,2.0,1.1,0.2,0.1,0.1,-0.1
Sean Kilpatrick,73.6,1.4,1.0,0.1,0.1,,
Ollie Mack,73.3,1.6,1.0,-0.1,,,
Bubbles Hawkins,72.7,1.9,0.6,0.3,0.1,,
Tracy Jackson,72.3,1.7,0.7,0.0,,,
James Anderson,71.6,1.9,0.9,0.5,0.3,-0.3,
Treveon Graham,71.3,1.8,0.5,0.4,0.2,,
