Season,Team,Lg,Salary
2018-19,Atlanta Hawks,NBA,"$5,356,440"
2019-20,Atlanta Hawks,NBA,"$6,273,000"
2020-21,Atlanta Hawks,NBA,"$6,571,800"
2021-22,Atlanta Hawks,NBA,"$8,326,471"
2022-23,Atlanta Hawks,NBA,"$37,096,500"
2023-24,Atlanta Hawks,NBA,"$40,064,220"
2024-25,Atlanta Hawks,NBA,"$43,031,940"
Career,(may be incomplete),,"$146,720,371"
