"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Tyus Jones,,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3
Marcus Smart,94.2,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9,0.2
Norman Powell,93.3,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6
Mario Chalmers,92.6,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,
Greg Anthony,92.3,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6
Sherman Douglas,91.4,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,-0.1
Jarrett Jack,91.1,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2
Luke Ridnour,90.8,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9
Patrick Beverley,90.1,5.3,4.8,4.4,4.2,4.1,3.6,3.5,2.2,2.1,0.4
Johnny Davis,89.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7
Raymond Felton,89.3,6.5,5.4,4.3,4.2,3.4,2.6,2.3,2.2,1.7,0.2
