"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Kareem Rush,,1.5,1.0,0.1,0.0,0.0,-0.2,-0.6
Sean Kilpatrick,65.1,1.4,1.0,0.1,0.1,,,
Ollie Mack,54.0,1.6,1.0,-0.1,,,,
Jannero Pargo,50.1,2.0,1.1,0.2,0.1,0.1,-0.1,-0.3
Mel Peterson,49.0,1.3,1.0,0.0,-0.2,,,
Richie Frahm,48.3,1.5,1.0,0.5,-0.2,,,
John Jenkins,48.1,1.7,0.9,0.2,0.2,0.0,-0.1,
Bobby Washington,47.9,1.5,0.7,0.0,,,,
Lloyd Daniels,47.8,1.8,1.1,0.2,0.1,0.0,,
Byron Irvin,47.7,1.2,0.9,0.0,,,,
Cory Alexander,47.0,2.2,1.1,0.2,0.0,-0.1,-0.1,-0.3
