"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Blake Griffin,,12.2,10.6,9.8,9.2,9.0,8.0,7.7,4.9,3.8,2.1,2.0,1.8,-0.1
Peja StojakoviÄ,93.1,13.5,10.1,10.1,9.9,8.1,8.0,7.3,4.8,3.8,2.7,1.7,1.6,0.9
Lou Hudson,92.2,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8
Ben Wallace,91.8,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,3.8,3.6,3.6,2.9,-0.2
Paul George,91.1,11.9,10.8,9.2,9.0,8.9,7.1,6.0,5.3,4.8,4.6,2.4,1.3,0.0
Glen Rice,90.9,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,2.2,1.4,0.0
Chris Webber,90.6,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,1.9,1.1
George McGinnis,90.2,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,,
James Worthy,89.7,10.6,9.7,9.5,9.3,9.0,7.9,7.5,6.5,5.1,3.1,3.0,0.1,
Billy Cunningham,89.6,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,
Kiki Vandeweghe,89.1,11.0,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2.0,1.2,1.1,0.8
