"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,24,ATL,NBA,SF,73,3,989,0,0,13,74,14,-12.1,-8.4,21,20,83,19,41,57,4,33,
2001-02,25,ATL,NBA,C,82,14,1371,0,0,0,0,100,-5.5,-1.1,39,17,91,7,35,120,4,39,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,155,17,2360,0,0,5,31,64,-8.3,-4.2,60,37,174,26,76,177,8,72,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,9,1249,0,0,5,31,64,-8.3,-4.2,32,20,92,14,40,94,4,38,
