"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Derrick Favors,,8.3,8.0,7.9,7.1,5.1,5.1,4.4,4.2,3.0,2.9,2.7,1.4
Mickey Johnson,93.3,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7
Nick Anderson,92.3,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0.0
Tom Sanders,92.3,7.6,7.4,7.2,6.8,5.5,5.4,4.3,4.0,3.0,3.0,2.4,0.0
Grant Long,91.7,8.4,7.7,6.6,6.5,5.1,5.0,4.9,4.6,2.7,2.6,1.6,1.4
Corey Maggette,90.8,8.6,8.1,7.0,6.9,6.3,5.0,3.9,3.4,3.3,3.3,3.0,2.6
Hedo TÃ¼rkoÄlu,90.3,9.0,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1
Jack Marin,89.3,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,
Bill Bridges,89.0,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6
Armen Gilliam,88.8,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3
Don Nelson,88.5,8.8,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.3,2.1,0.4
