"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dwayne Bacon,,1.2,0.5,-0.1,-0.8
Jaden Ivey,38.5,1.2,0.5,0.0,
Bobby Lewis,37.6,1.0,0.7,-0.1,-0.4
Tre Mann,31.5,1.2,0.5,0.1,0.1
Matt Thomas,28.5,1.2,0.6,0.2,
Tate George,28.3,1.1,0.4,0.0,-0.1
Kendall Marshall,28.1,0.9,0.8,-0.2,-0.5
Dick O'Keefe,27.3,2.1,0.5,-0.1,-0.8
Jerry Rullo,27.1,1.5,0.6,0.0,-0.1
Sundiata Gaines,25.8,1.0,0.5,-0.1,
Romeo Langford,24.5,1.3,0.5,0.2,0.0
