"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jared Jeffries,,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3
Bill Willoughby,86.0,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,
Ryan Bowen,85.1,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,
Brad Lohaus,84.7,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Earl Cureton,83.5,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,-0.1
Cedi Osman,82.9,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,,,
Tony Massenburg,82.2,2.8,2.2,1.8,1.7,1.5,1.3,1.0,0.7,0.4,0.2,-0.1
Toby Kimball,81.9,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,,
Steve Kuberski,81.6,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,,
Solomon Hill,80.9,3.5,2.7,2.1,1.4,1.3,0.5,0.4,0.0,-0.1,,
Tim Bassett,80.6,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,,,
