0
Career 4344 (43rd)
Career NBA 4344 (43rd)
Career Playoffs 500 (42nd)
Career NBA Playoffs 500 (42nd)
Career (Reg+Playoffs) 4844 (42nd)
Career NBA (Reg+Playoffs) 4844 (42nd)
