"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
C.J. Miles,,4.0,3.6,3.1,2.9,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.7,0.3,0.1,0.0,-0.5
Cory Joseph,90.7,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,1.5,0.9,0.2,0.0,,
Anthony Peeler,88.6,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,,,
Shaun Livingston,84.7,4.6,4.4,3.3,2.6,2.6,2.4,2.0,1.9,1.8,1.3,1.3,1.2,0.4,0.1,,
Tim Hardaway Jr.,83.3,4.8,4.4,4.3,3.5,3.1,2.6,2.3,2.2,2.0,1.9,1.8,0.8,,,,
Dennis Schr̦der,83.3,3.8,3.7,3.6,3.3,3.2,2.9,2.9,2.8,2.6,2.5,2.2,-0.7,,,,
Mike Gale,81.4,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2.0,,,,,
Mike Glenn,81.1,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,,,,
Steve Blake,80.5,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1.0,0.7,0.3,,,
Trent Tucker,80.5,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9,2.8,1.9,1.1,,,,,
Marco Belinelli,79.3,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,,,
