"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Fred Jones,,4.8,4.0,2.6,2.2,1.6,1.2,0.0
Sedale Threatt,90.4,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Alex Caruso,90.0,4.9,3.6,2.4,2.3,2.0,1.0,0.5
Keith Bogans,89.0,4.9,2.6,2.5,2.3,1.7,1.3,0.1
Greg Buckner,89.0,4.8,3.8,3.1,2.3,2.0,1.8,0.3
Doug West,88.9,4.6,4.3,2.6,1.8,1.2,0.8,-0.1
Al Wood,88.8,4.4,4.2,2.5,2.3,1.0,0.9,
Todd Day,87.6,4.8,3.2,2.6,2.5,2.1,1.9,0.1
Coby White,87.2,4.7,4.5,3.1,2.4,2.4,0.9,
Johnny Egan,86.6,5.1,3.6,3.2,3.1,1.4,1.3,0.0
Danny Young,86.3,4.8,3.0,2.9,2.4,1.8,1.8,-0.1
