Season,Team,Lg,Salary
2001-02,Washington Wizards,NBA,"$332,817"
2002-03,Detroit Pistons,NBA,"$512,435"
2002-03,Washington Wizards,NBA,"$337,457"
2003-04,Los Angeles Clippers,NBA,"$638,679"
2004-05,Los Angeles Clippers,NBA,"$825,000"
2005-06,Milwaukee Bucks,NBA,"$8,000,000"
2006-07,Milwaukee Bucks,NBA,"$8,640,000"
2007-08,Milwaukee Bucks,NBA,"$9,280,000"
2008-09,New Jersey Nets,NBA,"$10,602,667"
2009-10,New Jersey Nets,NBA,"$10,560,000"
2010-11,San Antonio Spurs,NBA,"$71,951"
2011-12,Los Angeles Clippers,NBA,"$594,836"
Career,(may be incomplete),,"$50,395,842"
