Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2005-06,25,MIL,NBA,SF,5.0,5.0,159.0,14.0,42.0,0.333,5.0,12.0,0.417,9.0,30.0,0.3,0.393,0.0,0.0,4.0,14.0,18.0,10.0,9.0,1.0,6.0,11.0,33.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,31,LAC,NBA,SF,4.0,1.0,32.0,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,11.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,9.0,6.0,191.0,19.0,51.0,0.373,6.0,16.0,0.375,13.0,35.0,0.371,0.431,0.0,0.0,4.0,15.0,19.0,10.0,9.0,1.0,7.0,18.0,44.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,55.0,1740.0,173.0,465.0,0.373,55.0,146.0,0.375,118.0,319.0,0.371,0.431,0.0,0.0,36.0,137.0,173.0,91.0,82.0,9.0,64.0,164.0,401.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,159.0,14.0,42.0,0.333,5.0,12.0,0.417,9.0,30.0,0.3,0.393,0.0,0.0,4.0,14.0,18.0,10.0,9.0,1.0,6.0,11.0,33.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,4.0,1.0,32.0,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,11.0,0.0,
