Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2005-06,25,MIL,NBA,SF,5.0,5.0,159.0,3.2,9.5,0.333,1.1,2.7,0.417,2.0,6.8,0.3,0.393,0.0,0.0,0.9,3.2,4.1,2.3,2.0,0.2,1.4,2.5,7.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,31,LAC,NBA,SF,4.0,1.0,32.0,5.6,10.1,0.556,1.1,4.5,0.25,4.5,5.6,0.8,0.611,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,7.9,12.4,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,9.0,6.0,191.0,3.6,9.6,0.373,1.1,3.0,0.375,2.5,6.6,0.371,0.431,0.0,0.0,0.8,2.8,3.6,1.9,1.7,0.2,1.3,3.4,8.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,159.0,3.2,9.5,0.333,1.1,2.7,0.417,2.0,6.8,0.3,0.393,0.0,0.0,0.9,3.2,4.1,2.3,2.0,0.2,1.4,2.5,7.5,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,4.0,1.0,32.0,5.6,10.1,0.556,1.1,4.5,0.25,4.5,5.6,0.8,0.611,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,7.9,12.4,
