"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Nick Richards,,5.1,4.2,3.0,1.0,0.0,,
Sam Hauser,90.4,4.9,4.4,3.4,0.6,,,
Sly Williams,88.7,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Walt Budko,88.4,5.6,4.0,2.7,1.5,,,
Jamario Moon,87.2,5.7,4.9,2.9,1.1,-0.3,,
Santi Aldama,86.9,5.0,4.6,2.4,0.3,,,
Ed Ratleff,84.7,5.6,4.5,2.1,1.0,0.5,,
Dave Meyers,84.0,5.0,3.9,2.4,2.2,,,
Bob Harris,83.7,5.0,4.3,3.4,1.9,1.0,,
Fred Hetzel,82.7,5.1,4.5,2.9,2.0,0.9,0.5,
Leon Powe,82.4,4.9,4.3,1.7,0.6,0.5,,
