"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sindarius Thornwell,,1.0,0.1,0.0,0.0
Wayne Chapman,85.8,1.0,0.1,0.0,-0.1
Quenton Jackson,85.7,1.0,0.2,0.0,
Kadeem Allen,78.8,1.0,0.1,-0.1,
Sam Jacobson,78.5,0.9,0.2,0.0,
Willie Smith,75.8,1.0,0.3,0.0,0.0
Miye Oni,73.6,0.9,0.1,0.0,
Morlon Wiley,70.8,0.9,0.2,0.1,0.1
Eddie Hughes,69.8,1.0,0.4,0.0,
Lowes Moore,67.4,1.1,0.2,0.2,
Kelvin Upshaw,66.6,1.0,0.3,0.3,
