"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jake Layman,,3.1,0.7,0.3,0.1,-0.1,-0.3
Wenyen Gabriel,80.7,2.8,0.7,0.3,0.2,-0.2,
Dick Schulz,80.4,2.9,0.8,0.6,0.0,,
Moussa Diabat̩,79.7,3.2,0.4,0.3,,,
Justin Champagnie,79.6,2.8,0.8,0.3,0.0,,
Dennis Hamilton,77.6,2.8,0.7,0.5,0.0,,
Jake LaRavia,75.4,2.9,1.0,0.5,,,
Charles Jones,75.1,2.9,0.9,0.6,0.1,,
Kenny Fields,74.8,2.8,0.7,0.7,0.0,,
Tom Marshall,71.4,3.5,0.7,0.2,-0.3,,
Jeff Adrien,70.8,2.7,1.0,0.4,0.2,0.1,
