Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-12-01,UTA,,HOU,"W, 133-125",,10,0,2,0.0,0,0,,1,2,0.5,2,1,3,1,1,0,0,0,1,2.6,1
2025-11-30,UTA,,HOU,"L, 101-129",,24,3,12,0.25,1,6,0.167,3,3,1.0,1,2,3,2,2,1,0,3,10,7.0,-9
2025-11-28,UTA,,SAC,"W, 128-119",,28,6,11,0.545,2,5,0.4,6,8,0.75,1,2,3,0,1,1,2,2,20,14.1,11
2025-11-24,UTA,@,GSW,"L, 117-134",,19,7,13,0.538,2,5,0.4,0,0,,0,1,1,1,1,1,0,2,16,11.6,-6
2025-11-23,UTA,,LAL,"L, 106-108",,15,1,8,0.125,1,4,0.25,2,2,1.0,1,2,3,0,0,0,1,2,5,-0.7,-11
