Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2023-24,20,IND,NBA,SG,7,0,25,4.1,12.3,0.333,0.0,0.0,4.1,12.3,0.333,0.333,0.0,0.0,0.0,6.1,6.1,4.1,0.0,2.0,6.1,4.1,8.2,56,121,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,25,4.1,12.3,0.333,0.0,0.0,4.1,12.3,0.333,0.333,0.0,0.0,0.0,6.1,6.1,4.1,0.0,2.0,6.1,4.1,8.2,56,121,
