Season,Team,Lg,Salary
2016-17,Philadelphia 76ers,NBA,"$1,326,960"
2017-18,Philadelphia 76ers,NBA,"$1,386,600"
2018-19,Chicago Bulls,NBA,"$1,544,951"
2019-20,Brooklyn Nets,NBA,"$844,170"
2020-21,Brooklyn Nets,NBA,"$1,824,003"
2021-22,Atlanta Hawks,NBA,"$1,939,350"
Career,(may be incomplete),,"$8,866,034"
