"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Herbert Jones,,6.3,4.6,4.2,0.4,,,
Dino Radja,91.1,5.9,4.5,4.0,-0.2,,,
Maurice Stokes,88.2,6.0,5.5,4.5,,,,
Keegan Murray,87.1,5.2,4.4,4.3,,,,
Willie Murrell,85.5,7.0,4.6,3.1,,,,
Bones McKinney,85.2,7.1,4.9,3.3,0.2,0.0,-0.2,
George Stone,84.0,4.6,4.6,4.5,0.2,,,
Sly Williams,83.3,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Ernie Vandeweghe,81.8,7.1,4.8,3.9,2.1,0.3,-0.1,
Sam Hauser,81.4,4.9,4.4,3.4,0.6,,,
Jack Kerris,81.2,5.9,5.7,4.1,2.1,,,
