"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jon Leuer,,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1
Brian Skinner,90.2,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
Etan Thomas,90.0,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
Ed Nealy,89.2,4.7,2.0,1.9,1.5,1.3,1.2,0.4,0.3
Tim Perry,86.7,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1
Tim Bassett,85.7,3.7,2.6,2.4,1.5,1.4,1.1,0.1,
Solomon Hill,84.9,3.5,2.7,2.1,1.4,1.3,0.5,0.4,-0.1
De'Andre Hunter,84.6,4.4,2.5,2.2,1.7,1.1,0.1,,
Marvin Bagley III,83.9,3.6,2.7,2.0,2.0,1.4,0.6,0.4,
Dillon Brooks,83.3,5.1,2.7,1.6,1.6,1.4,1.2,1.2,0.0
KJ Martin,83.2,4.9,2.9,2.2,1.3,1.1,,,
