"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Toney Douglas,,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6
Trenton Hassell,85.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1
Armond Hill,85.2,4.2,2.6,2.5,1.0,0.8,0.5,0.0,-0.4
Anfernee Simons,84.0,4.2,2.5,2.2,1.9,1.8,0.2,0.1,
Kent Bazemore,83.8,4.1,2.2,2.1,1.6,0.7,0.6,0.2,0.1
Brandon Rush,83.4,3.5,2.6,2.5,2.0,0.9,0.0,-0.3,-0.4
Kevin Ollie,83.1,3.8,2.4,2.4,1.4,0.9,0.1,0.0,-0.1
Quintin Dailey,82.5,3.7,2.6,2.1,2.0,1.3,1.0,0.1,-0.3
Kevin Edwards,82.0,5.1,2.5,2.4,1.6,0.6,0.5,0.3,-0.2
Pep Saul,82.0,4.2,2.9,2.8,1.5,0.8,0.6,,
Sonny Hertzberg,81.8,4.0,2.5,2.3,1.4,0.7,,,
