"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Toney Douglas,,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,
Brandon Rush,85.4,3.5,2.6,2.5,2.0,0.9,0.4,0.0,-0.3,-0.4
Armond Hill,85.2,4.2,2.6,2.5,1.0,0.8,0.5,0.0,-0.4,
Kris Dunn,84.7,4.0,2.3,2.0,1.9,0.9,0.6,0.2,0.1,-0.2
Trenton Hassell,84.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Anfernee Simons,84.0,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,
Pep Saul,82.0,4.2,2.9,2.8,1.5,0.8,0.6,,,
Sonny Hertzberg,81.8,4.0,2.5,2.3,1.4,0.7,,,,
Lee Winfield,81.0,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,
Andre Roberson,80.7,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,
Charlie Criss,80.0,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
